Testing_Accuracy,Activation_Function,Optimzer,Epochs
0.9114426600210361,sigmoid,adagrad,100
0.9916865939694094,sigmoid,adagrad,200
0.9469353820627899,tanh,adagrad,100
0.9999191018628995,tanh,adagrad,200
